State, parcel level, k, n, m, s, number of fixings, percent fixed, time, 
IL,tract,17,612,1631,15,1935,59.26,577.33
TX,tract,38,612,1631,14,6896,100.00,215.47
IL,tract,17,612,1631,14,2097,64.23,484.15
TX,tract,38,612,1631,15,6896,100.00,883.06
MI,tract,13,612,1631,16,2106,69.80,730.51
MI,tract,13,612,1631,17,1909,63.27,913.66
NJ,tract,12,612,1631,33,24,1.10,2671.83
PA,tract,17,612,1631,38,917,26.61,3665.49
PA,tract,17,612,1631,39,872,25.30,4068.26
NJ,tract,12,612,1631,32,46,2.11,2607.17
NC,tract,14,612,1631,21,545,20.40,3118.1
NC,tract,14,612,1631,20,630,23.58,3704.63
MD,tract,8,612,1631,19,34,2.31,243.57
MD,tract,8,612,1631,18,48,3.25,209.95
MO,tract,8,612,1631,24,1654,100.00,707.75
MO,tract,8,612,1631,25,1654,100.00,863.04
MI,tract,13,612,1631,28,379,12.56,5122.42
MI,tract,13,612,1631,29,258,8.55,5487.92
MD,tract,8,612,1631,27,10,0.68,492.57
MD,tract,8,612,1631,26,16,1.08,459.09
MS,county,4,612,1631,30,1,1.22,0.19
MS,county,4,612,1631,31,1,1.22,0.19
PA,tract,17,612,1631,32,1197,34.74,2859.03
PA,tract,17,612,1631,33,1138,33.02,2972.76
TN,tract,9,612,1631,24,888,52.20,194.39
TN,tract,9,612,1631,25,796,46.80,253.49
MI,tract,13,612,1631,22,1279,42.39,2612.19
MI,tract,13,612,1631,23,1147,38.02,3069.71
NC,tract,14,612,1631,15,2672,100.00,697.29
NC,tract,14,612,1631,14,2672,100.00,246.46
PA,tract,17,612,1631,45,415,12.04,7442.17
PA,tract,17,612,1631,44,502,14.57,7065.3
TX,tract,38,612,1631,20,2000,29.00,68199.31
IL,tract,17,612,1631,21,943,28.88,4119.32
TX,tract,38,612,1631,21,1592,23.09,83266.76
IL,tract,17,612,1631,20,1082,33.14,3910.62
VA,tract,11,612,1631,22,483,21.97,1043.18
VA,tract,11,612,1631,23,427,19.43,1120.05
NJ,tract,12,612,1631,24,660,30.26,1497.65
NJ,tract,12,612,1631,25,522,23.93,1901.22
OH,tract,15,612,1631,13,3168,100.00,0.0
TN,tract,9,612,1631,39,170,9.99,905.09
TN,tract,9,612,1631,38,218,12.82,942.48
MS,county,4,612,1631,13,1,1.22,0.19
MS,county,4,612,1631,12,1,1.22,0.21
MD,tract,8,612,1631,30,1,0.07,736.94
MD,tract,8,612,1631,31,0,0.00,711.46
NM,tract,3,612,1631,00,612,100.00,0.0
MO,tract,8,612,1631,32,0,0.00,1399.32
SC,tract,7,612,1631,22,0,0.00,279.86
AL,county,7,612,1631,04,67,100.00,0.0
TN,tract,9,612,1631,33,420,24.69,509.77
AL,county,7,612,1631,05,67,100.00,0.0
TN,tract,9,612,1631,32,472,27.75,438.97
OH,tract,15,612,1631,18,2227,70.30,10144.45
SC,tract,7,612,1631,16,175,13.23,193.67
SC,tract,7,612,1631,17,132,9.98,202.77
OH,tract,15,612,1631,19,1972,62.25,6626.1
